Index;Time point [ms];Iteration length [ms];Cost
0;6;6;1.20032055398699E7
1;8;2;1.20032055398699E7
2;14;6;1.20032055398699E7
3;17;3;1.2002576669071723E7
4;20;3;1.2002576669071723E7
5;23;3;1.2002576669071723E7
6;25;2;1.2002576669071723E7
7;28;3;1.2002026360218035E7
8;31;3;1.2002026360218035E7
9;31;0;1.2002026360218035E7
10;34;3;1.2002026360218035E7
11;37;3;1.2002026360218035E7
12;38;1;1.2002026360218035E7
13;40;2;1.2002026360218035E7
14;42;2;1.2002026360218035E7
15;46;4;1.2002026360218035E7
16;49;3;1.2002026360218035E7
17;52;3;1.1001985303092936E7
18;55;3;1.1001985303092936E7
19;57;2;1.1001985303092936E7
20;60;3;1.1001985303092936E7
21;63;3;1.1001985303092936E7
22;64;1;1.1001985303092936E7
23;66;2;1.1001985303092936E7
24;70;4;1.1001985303092936E7
25;73;3;1.1001985303092936E7
26;78;5;1.1001985303092936E7
27;79;1;1.1001985303092936E7
28;81;2;1.1001877278672798E7
29;82;1;1.1001877278672798E7
30;84;2;1.1001877278672798E7
31;87;3;1.1001877278672798E7
32;90;3;1.1001877278672798E7
33;93;3;1.1001877278672798E7
34;95;2;1.1001877278672798E7
35;99;4;1.1001877278672798E7
36;100;1;1.1001877278672798E7
37;103;3;1.1001877278672798E7
38;107;4;1.1001877278672798E7
39;108;1;1.1001877278672798E7
40;110;2;1.1001877278672798E7
41;111;1;1.1001877278672798E7
42;112;1;1.1001877278672798E7
43;114;2;1.1001877278672798E7
44;116;2;1.1001877278672798E7
45;120;4;1.1001877278672798E7
46;122;2;1.1001877278672798E7
47;125;3;1.1001877278672798E7
48;128;3;1.1001877278672798E7
49;129;1;1.1001877278672798E7
50;129;0;1.1001877278672798E7
51;134;5;1.1001877278672798E7
52;136;2;1.1001877278672798E7
53;140;4;1.1001712523167174E7
54;144;4;1.1001712523167174E7
55;146;2;1.1001712523167174E7
56;150;4;1.1001581290718907E7
57;153;3;1.1001421778645992E7
58;156;3;1.100137615203681E7
59;160;4;1.100137615203681E7
60;162;2;1.100137615203681E7
61;164;2;1.100137615203681E7
62;166;2;1.100137615203681E7
63;168;2;1.100137615203681E7
64;171;3;1.100137615203681E7
65;174;3;1.100137615203681E7
66;176;2;1.100137615203681E7
67;179;3;1.100137615203681E7
68;182;3;1.100137615203681E7
69;184;2;1.100137615203681E7
70;186;2;1.100137615203681E7
71;189;3;1.100137615203681E7
72;190;1;1.100137615203681E7
73;195;5;1.100137615203681E7
74;196;1;1.100137615203681E7
75;200;4;1.100137615203681E7
76;203;3;1.100137615203681E7
77;212;9;1.100137615203681E7
78;215;3;1.100137615203681E7
79;219;4;1.100137615203681E7
80;221;2;1.100137615203681E7
81;225;4;1.100137615203681E7
82;229;4;1.100137615203681E7
83;231;2;1.100137615203681E7
84;235;4;1.100137615203681E7
85;235;0;1.100137615203681E7
86;238;3;1.100137615203681E7
87;242;4;1.100137615203681E7
88;243;1;1.100137615203681E7
89;245;2;1.100137615203681E7
90;247;2;1.100137615203681E7
91;249;2;1.100137615203681E7
92;250;1;1.100137615203681E7
93;252;2;1.100137615203681E7
94;255;3;1.100137615203681E7
95;258;3;1.100137615203681E7
96;258;0;1.100137615203681E7
97;261;3;1.100137615203681E7
98;264;3;1.100137615203681E7
99;267;3;1.100137615203681E7
100;270;3;1.100137615203681E7
101;272;2;1.100137615203681E7
102;277;5;1.100137615203681E7
103;280;3;1.100137615203681E7
104;284;4;1.100137615203681E7
105;286;2;1.100137615203681E7
106;287;1;1.100137615203681E7
107;290;3;1.100137615203681E7
108;294;4;1.100137615203681E7
109;297;3;1.100137615203681E7
110;299;2;1.100137615203681E7
111;301;2;1.100137615203681E7
112;303;2;1.100137615203681E7
113;305;2;1.100137615203681E7
114;307;2;1.100137615203681E7
115;312;5;1.100127842479993E7
116;316;4;1.100127842479993E7
117;318;2;1.100127842479993E7
118;321;3;1.100127842479993E7
119;324;3;1.100127842479993E7
120;328;4;1.100127842479993E7
121;336;8;1.100127842479993E7
122;336;0;1.100127842479993E7
123;339;3;1.100127842479993E7
124;342;3;1.100127842479993E7
125;344;2;1.100127842479993E7
126;344;0;1.100127842479993E7
127;347;3;1.100127842479993E7
128;353;6;1.100127842479993E7
129;357;4;1.100127842479993E7
130;362;5;1.100127842479993E7
131;364;2;1.100127842479993E7
132;367;3;1.100127842479993E7
133;370;3;1.100127842479993E7
134;377;7;1.100127842479993E7
135;380;3;1.100127842479993E7
136;384;4;1.100127842479993E7
137;386;2;1.100127842479993E7
138;388;2;1.100127842479993E7
139;393;5;1.100127842479993E7
140;396;3;1.100127842479993E7
141;401;5;1.100127842479993E7
142;403;2;1.100127842479993E7
143;408;5;1.100127842479993E7
144;413;5;1.100127842479993E7
145;417;4;1.100127842479993E7
146;423;6;1.100127842479993E7
147;426;3;1.100127842479993E7
148;429;3;1.100127842479993E7
149;430;1;1.100127842479993E7
150;435;5;1.100127842479993E7
151;441;6;1.100127842479993E7
152;444;3;1.100127842479993E7
153;447;3;1.100127842479993E7
154;454;7;1.100127842479993E7
155;459;5;1.100127842479993E7
156;464;5;1.100127842479993E7
157;469;5;1.100127842479993E7
158;471;2;1.100127842479993E7
159;473;2;1.100127842479993E7
160;475;2;1.100127842479993E7
161;476;1;1.100127842479993E7
162;480;4;1.100127842479993E7
163;484;4;1.100127842479993E7
164;484;0;1.100127842479993E7
165;487;3;1.100127842479993E7
166;488;1;1.100127842479993E7
167;491;3;1.100127842479993E7
168;494;3;1.100127842479993E7
