Index;Time point [ms];Iteration length [ms];Cost
0;7;7;4002405.5911424137
1;15;8;4001813.227421678
2;20;5;4001689.7312066862
3;27;7;4001467.1026749862
4;34;7;4001467.1026749862
5;34;0;4001467.1026749862
6;40;6;4001467.1026749862
7;42;2;4001467.1026749862
8;48;6;4001467.1026749862
9;56;8;4001467.1026749862
10;57;1;4001467.1026749862
11;62;5;4001467.1026749862
12;68;6;4001467.1026749862
13;70;2;4001467.1026749862
14;75;5;4001467.1026749862
15;80;5;4001467.1026749862
16;84;4;4001467.1026749862
17;88;4;4001467.1026749862
18;95;7;4001079.1144547397
19;101;6;4001079.1144547397
20;109;8;4001079.1144547397
21;113;4;4001079.1144547397
22;114;1;4001079.1144547397
23;122;8;4001079.1144547397
24;128;6;4001079.1144547397
25;131;3;4001079.1144547397
26;137;6;4001079.1144547397
27;142;5;4001079.1144547397
28;146;4;4001079.1144547397
29;150;4;4001079.1144547397
30;154;4;4001079.1144547397
31;158;4;4001079.1144547397
32;159;1;4001079.1144547397
33;161;2;4001079.1144547397
34;168;7;4001079.1144547397
35;173;5;4001079.1144547397
36;176;3;4001079.1144547397
37;180;4;4001079.1144547397
38;183;3;4001079.1144547397
39;188;5;4001079.1144547397
40;193;5;4001079.1144547397
41;199;6;4001079.1144547397
42;204;5;4001079.1144547397
43;209;5;4001079.1144547397
44;214;5;4001079.1144547397
45;218;4;4001079.1144547397
46;219;1;4001079.1144547397
47;221;2;4001079.1144547397
48;222;1;4001079.1144547397
49;231;9;4001079.1144547397
50;232;1;4001079.1144547397
51;240;8;4001079.1144547397
52;247;7;4001079.1144547397
53;256;9;4001079.1144547397
54;267;11;4001079.1144547397
55;279;12;4001079.1144547397
56;289;10;4001079.1144547397
57;305;16;4001079.1144547397
58;317;12;4001079.1144547397
59;324;7;4000912.8165024044
60;335;11;4000912.8165024044
61;336;1;4000912.8165024044
62;340;4;4000881.0604172433
63;345;5;4000881.0604172433
64;348;3;4000866.085176404
65;352;4;4000824.156098692
66;358;6;4000824.156098692
67;361;3;4000824.156098692
68;362;1;4000824.156098692
69;367;5;4000824.156098692
70;367;0;4000824.156098692
71;371;4;4000824.156098692
72;376;5;4000824.156098692
73;382;6;4000824.156098692
74;382;0;4000824.156098692
75;387;5;4000824.156098692
76;392;5;4000824.156098692
77;398;6;4000824.156098692
78;405;7;4000824.156098692
79;411;6;4000824.156098692
80;417;6;4000824.156098692
81;422;5;4000824.156098692
82;423;1;4000824.156098692
83;428;5;4000824.156098692
84;433;5;4000824.156098692
85;440;7;4000824.156098692
86;445;5;4000824.156098692
87;451;6;4000824.156098692
88;456;5;4000824.156098692
89;457;1;4000824.156098692
90;465;8;4000824.156098692
91;473;8;4000824.156098692
